id_demanda;demanda;id_tipo_hora;tipo_hora;qtd_horas;preco_hora;valor_total
1;Anonimização de dados pessoais ;1;Concepção;1;248;248
1;Anonimização de dados pessoais ;2;Elaboração;21;184;3.864,00
1;Anonimização de dados pessoais ;4;Construção - Codificação;33;94;3.102,00
1;Anonimização de dados pessoais ;5;Construção - Teste;6;94;564
1;Anonimização de dados pessoais ;6;Transição;3;184;552
1;Anonimização de dados pessoais ;7;Gerenciamento de Projeto;6;246;1.476,00
2;Modos de pesquisa adicionais consulta restos a pagar ;1;Concepção;0,68;248;168,64
2;Modos de pesquisa adicionais consulta restos a pagar ;2;Elaboração;20,4;184;3.753,60
2;Modos de pesquisa adicionais consulta restos a pagar ;4;Construção - Codificação;30,6;94;2.876,40
2;Modos de pesquisa adicionais consulta restos a pagar ;5;Construção - Teste;6,12;94;575,28
2;Modos de pesquisa adicionais consulta restos a pagar ;6;Transição;3,4;184;625,6
2;Modos de pesquisa adicionais consulta restos a pagar ;7;Gerenciamento de Projeto;5,44;246;1.338,24
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;1;Concepção;0,1;248;24,8
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;2;Elaboração;3;184;552
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;4;Construção - Codificação;4,5;94;423
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;5;Construção - Teste;0,9;94;84,6
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;6;Transição;0,5;184;92
3;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;7;Gerenciamento de Projeto;0,8;246;196,8
4;Interface de divulgação da consulta de remuneração ;1;Concepção;1,86;248;461,28
4;Interface de divulgação da consulta de remuneração ;2;Elaboração;55,8;184;10.267,20
4;Interface de divulgação da consulta de remuneração ;4;Construção - Codificação;83,7;94;7.867,80
4;Interface de divulgação da consulta de remuneração ;5;Construção - Teste;16,74;94;1.573,56
4;Interface de divulgação da consulta de remuneração ;6;Transição;9,3;184;1.711,20
