Contrato;AberturaDemanda;DocumentoSolicitacao;NumDocumento;PropostaComercial;DataPropostaComercial;PropostaRecebida;NumSolicitacao;Demanda;idTipoHora;TipoHora; QtdHoras ;PrecoHora;ValorTotal;AutorizadoExecucao;LocalAutorizacao;DataEntrega;HomologacaoSEI;Faturado;Agilis;ProcessoFaturamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;1;Concepção;1; 248,00 ; 248,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;2;Elaboração;21; 184,00 ; 3.864,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;3;Construção - Codificação;33; 94,00 ; 3.102,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;4;Construção - Teste;6; 94,00 ; 564,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;5;Transição;3; 184,00 ; 552,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Anonimização de dados pessoais ;6;Gerenciamento de Projeto;6; 246,00 ; 1.476,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;1;Concepção;0,68; 248,00 ; 168,64 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;2;Elaboração;20,4; 184,00 ; 3.753,60 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;3;Construção - Codificação;30,6; 94,00 ; 2.876,40 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;4;Construção - Teste;6,12; 94,00 ; 575,28 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;5;Transição;3,4; 184,00 ; 625,60 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Modos de pesquisa adicionais consulta restos a pagar ;6;Gerenciamento de Projeto;5,44; 246,00 ; 1.338,24 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;1;Concepção;0,1; 248,00 ; 24,80 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;2;Elaboração;3; 184,00 ; 552,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;3;Construção - Codificação;4,5; 94,00 ; 423,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;4;Construção - Teste;0,9; 94,00 ; 84,60 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;5;Transição;0,5; 184,00 ; 92,00 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Marcar e desmarcar todos os checkboxes nas pesquisas avançadas ;6;Gerenciamento de Projeto;0,8; 246,00 ; 196,80 ;12/12/2019;1520.01.0007635/2019-05;31/03/2020;5140.01.0000671/2020-07;27/04/2020;628056;5140.01.0001679/2020-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;1;Concepção;1,86; 248,00 ; 461,28 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;2;Elaboração;55,8; 184,00 ; 10.267,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;3;Construção - Codificação;83,7; 94,00 ; 7.867,80 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;4;Construção - Teste;16,74; 94,00 ; 1.573,56 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;5;Transição;9,3; 184,00 ; 1.711,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Interface de divulgação da consulta de remuneração ;6;Gerenciamento de Projeto;14,88; 246,00 ; 3.660,48 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;1;Concepção;4,92; 248,00 ; 1.220,16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;2;Elaboração;147,6; 184,00 ; 27.158,40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;3;Construção - Codificação;221,4; 94,00 ; 20.811,60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;4;Construção - Teste;44,28; 94,00 ; 4.162,32 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Automação da carga de dados no CKAN ;5;Transição;24,6; 184,00 ; 4.526,40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
